-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,-1,1,1,1,1,1,1,1
0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,261,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,-1,-1,261,-1,-1,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,-1,-1,262,-1,-1,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,265,-1,-1,-1,-1,-1,-1,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,-1,-1,-1,266,-1,-1,-1,-1,-1,-1,-1,-1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,0
